,id,followers,genres,name,popularity
313701,5f7VJjfbwm532GiveGC0ZK,6789005.0,"['atl hip hop', 'atl trap', 'rap', 'trap']",Lil Baby,93
143819,2nszmSgqreHSdJA3zWPyrW,6766040.0,"['bolero', 'latin', 'latin pop']",Luis Miguel,84
145804,2kCcBybjl3SAtIcwdWpUe3,6754746.0,"['emo rap', 'lgbtq+ hip hop']",Lil Peep,88
145069,0oSGxfWSnnOXhD2fKuz2Gy,6753696.0,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",David Bowie,82
116958,0XwVARXT135rw8lyw1EeWP,6691210.0,"['mariachi', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",Christian Nodal,86
147759,5p7f24Rk5HkUZsaS3BLG5F,6686673.0,"['dance pop', 'pop', 'post-teen pop']",Hailee Steinfeld,78
123638,7wlFDEWiM5OoIAt8RSli8b,6679973.0,"['baton rouge rap', 'trap']",YoungBoy Never Broke Again,86
142135,1w5Kfo2jwwIPruYS2UWh56,6605373.0,"['alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",Pearl Jam,79
144152,3E6xrwgnVfYCrCs0ePERDz,6592838.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",Wisin,88
146870,4iHNK0tOyZPYnBU7nGAgpQ,6558935.0,"['dance pop', 'pop', 'urban contemporary']",Mariah Carey,80
145123,3AQRLZ9PuTAozP28Skbq8V,6548759.0,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",The Script,78
145933,5CCwRZC6euC8Odo6y9X8jr,6540956.0,"['australian pop', 'dance pop', 'edm', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']",Rita Ora,79
146861,6XpaIBNiVzIetEPCWDvAFP,6510934.0,"['dance pop', 'pop', 'urban contemporary']",Whitney Houston,80
117022,4r63FhuTkUYltbVAg5TQnk,6485079.0,"['north carolina hip hop', 'rap']",DaBaby,93
144193,0vLuOi2k62sHujIfplInlK,6458922.0,"['brazilian hip hop', 'rap df', 'trap brasileiro']",Hungria Hip Hop,75
147728,6FBDaR13swtiWwGhX1WQsP,6424396.0,"['pop punk', 'punk', 'socal pop punk']",blink-182,81
145928,7gZfnEnfiaHzxARJ2LeXrf,6416834.0,['emo rap'],6ix9ine,79
144308,6dJeKm76NjfXBNTpHmOhfO,6398084.0,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'viral pop']",Selena Gomez & The Scene,71
143695,5rQoBDKFnd1n6BkdbgVaRL,6394966.0,"['desi pop', 'modern bollywood']",Guru Randhawa,70
145937,12Chz98pHFMPJEknJQMWvI,6378276.0,"['modern rock', 'permanent wave', 'rock']",Muse,79
142838,0h1zs4CTlU9D2QtgPxptUD,6374544.0,"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'rock en espanol', 'tropical']",Ricardo Arjona,80
146884,0ECwFtbIWEVNwjlrfc6xoL,6369653.0,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Eagles,80
145927,7okwEbXzyT2VffBmyQBWLz,6360283.0,"['latin', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",Maná,80
144571,7iZtZyCzp3LItcw1wtPI3D,6356760.0,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Rae Sremmurd,77
142836,08GQAI4eElDnROBrJRGE0X,6343791.0,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Fleetwood Mac,85
145926,0BvkDsjIUla7X0k6CSWh1I,6325985.0,"['contemporary country', 'country', 'country road']",Luke Bryan,80
144526,64M6ah0SkkRsnPGtGiRAbb,6298454.0,"['alt z', 'dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",Bebe Rexha,84
145083,6LqNN22kT3074XbTVUrhzX,6296840.0,"['dance pop', 'electropop', 'pop', 'post-teen pop']",Kesha,81
203904,4SsVbpTthjScTS7U2hmr1X,6277479.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",Arcangel,86
111797,17lzZA2AlOHwCwFALHttmp,6267865.0,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2 Chainz,83
